Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Latitude;Longitude;Nom communes équipées
11047;Amelot - Saint-Sébastien;SANN;30;20;9;4;5;SANN;SANN;2022-10-05;48,86114216;2,367799618;Paris
16026;Ranelagh - Mozart;SANN;23;22;0;0;0;SANN;SANN;2022-10-05;48,8554439;2,2704418;Paris
17030;Pereire - Rennequin;SANN;23;21;2;2;0;SANN;SANN;2022-10-05;48,88364783;2,295244709;Paris
10107;Gare du Nord - Hôpital Lariboisière;SANN;49;47;1;0;1;SANN;SANN;2022-10-05;48,881949;2,352339;Paris
12111;Claude Decaen - Cannebière;SANN;27;25;1;1;0;SANN;SANN;2022-10-05;48,83761417;2,397253782;Paris
19026;Place de Rhin et Danube;SANN;17;16;0;0;0;SANN;SANN;2022-10-05;48,88192766;2,392586768;Paris
8034;Berri - Haussmann;SANN;35;2;33;16;17;SANN;SANN;2022-10-05;48,87474605;2,308295332;Paris
31009;Place Du Général De Gaulle;SANN;26;25;1;0;1;SANN;SANN;2022-10-05;48,8687591;2,4329931;Montreuil
5032;Panthéon - Valette;SANN;39;12;27;8;19;SANN;SANN;2022-10-05;48,84702057;2,346498262;Paris
19043;Delphine Seyrig - Général Leclerc;SANN;53;44;8;1;7;SANN;SANN;2022-10-05;48,89392396;2,397902906;Pantin
15067;Desaix - Edgar Faure;SANN;12;1;11;8;3;SANN;SANN;2022-10-05;48,8528046;2,29307703;Paris
14020;Cimetière de Montrouge;SANN;58;57;1;0;1;SANN;SANN;2022-10-05;48,822009;2,322188699;Paris
43401;Gare RER - Canadiens;SANN;45;29;15;9;6;SANN;SANN;2022-10-05;48,81995308;2,464176752;Joinville-le-Pont
20042;Pyrénées - Emmery;SANN;40;40;0;0;0;SANN;SANN;2022-10-05;48,87201028;2,392039597;Paris
26002;Redoute - Les Courtilles;SANN;32;14;14;6;8;SANN;SANN;2022-10-05;48,92986719;2,283669636;Asnières-sur-Seine
6006;Notre-Dame-des-Champs - Stanislas;SANN;19;0;19;6;13;SANN;SANN;2022-10-05;48,84479929;2,329337756;Paris
11027;Saint-Ambroise - Parmentier;SANN;38;33;3;3;0;SANN;SANN;2022-10-05;48,86214784;2,377234809;Paris
14003;Schoelcher - Raspail;SANN;50;50;0;0;0;SANN;SANN;2022-10-05;48,83681734;2,331279408;Paris
12128;Pyramide - Ecole du Breuil;SANN;34;20;14;8;6;SANN;SANN;2022-10-05;48,82237977;2,458687127;Paris
46002;Rouget de Lisle;SANN;35;5;29;20;9;SANN;SANN;2022-10-05;48,76461548;2,407118976;Choisy-le-Roi
8010;Liège - Moscou;SANN;17;3;13;2;11;SANN;SANN;2022-10-05;48,8795431;2,3264628;Paris
